iso_code,Mname
SVK,Moderna
SVK,Oxford/AstraZeneca
SVK,Pfizer/BioNTech
SVN,Novavax
SVN,Moderna
SVN,Pfizer/BioNTech
SVN,Oxford/AstraZeneca
SVN,Johnson&Johnson
SWE,Moderna
SWE,Oxford/AstraZeneca
SWE,Novavax
SWE,Pfizer/BioNTech
SWZ,Oxford/AstraZeneca
SWZ,Pfizer/BioNTech
SWZ,Johnson&Johnson
SXM,Oxford/AstraZeneca
SXM,Moderna
SXM,Pfizer/BioNTech
SYC,Sputnik V
SYC,Oxford/AstraZeneca
SYC,Sinopharm/Beijing
SYR,Sputnik V
SYR,CanSino
SYR,Sputnik Light
SYR,Moderna
SYR,Pfizer/BioNTech
SYR,Sinovac
SYR,Sinopharm/Beijing
SYR,Covaxin
SYR,Johnson&Johnson
SYR,Oxford/AstraZeneca
TCA,Pfizer/BioNTech
TCD,Sinopharm/Beijing
TGO,Oxford/AstraZeneca
THA,Sinovac
THA,Moderna
THA,Pfizer/BioNTech
THA,Oxford/AstraZeneca
THA,Sinopharm/Beijing
TJK,Oxford/AstraZeneca
TJK,Sputnik V
TJK,Moderna
TJK,Sinovac
TJK,Pfizer/BioNTech
TKL,Pfizer/BioNTech
TKM,EpiVacCorona
TKM,QazVac
TKM,Sputnik V
TKM,Oxford/AstraZeneca
TKM,ZF2001
TKM,Sinopharm/Beijing
TLS,Oxford/AstraZeneca
TLS,Pfizer/BioNTech
TLS,Sinovac
TON,Oxford/AstraZeneca
TTO,Oxford/AstraZeneca
TTO,Sinopharm/Beijing
TTO,Johnson&Johnson
TTO,Pfizer/BioNTech
TUN,Johnson&Johnson
TUN,Sputnik V
TUN,CanSino
TUN,Pfizer/BioNTech
TUN,Oxford/AstraZeneca
TUN,Sputnik Light
TUN,Moderna
TUN,Covaxin
TUN,Sinopharm/Beijing
TUN,Sinovac
TUR,Turkovac
TUR,Pfizer/BioNTech
TUR,Sinovac
TUV,Oxford/AstraZeneca
TWN,Moderna
TWN,Novavax
TWN,Medigen
TWN,Pfizer/BioNTech
TWN,Oxford/AstraZeneca
TZA,Sinopharm/Beijing
TZA,Johnson&Johnson
TZA,Pfizer/BioNTech
UGA,Pfizer/BioNTech
UGA,Moderna
UGA,Sinovac
UGA,Johnson&Johnson
UGA,Oxford/AstraZeneca
UKR,Oxford/AstraZeneca
UKR,Sinovac
UKR,Johnson&Johnson
UKR,Pfizer/BioNTech
UKR,Moderna
URY,Pfizer/BioNTech
URY,Sinovac
URY,Oxford/AstraZeneca
USA,Pfizer/BioNTech
USA,Moderna
USA,Novavax
USA,Johnson&Johnson
UZB,Sputnik V
UZB,ZF2001
UZB,Sinovac
UZB,Oxford/AstraZeneca
UZB,Pfizer/BioNTech
UZB,Moderna
UZB,Johnson&Johnson
UZB,Sputnik Light
VCT,Pfizer/BioNTech
VCT,Sputnik Light
VCT,Sputnik V
VCT,Oxford/AstraZeneca
VEN,Sinopharm/Beijing
VEN,Sinovac
VEN,Sputnik Light
VEN,Abdala
VEN,Sputnik V
VEN,Soberana02
VGB,Oxford/AstraZeneca
VGB,Johnson&Johnson
VNM,Sinopharm/Beijing
VNM,Oxford/AstraZeneca
VNM,Moderna
VNM,Pfizer/BioNTech
VNM,Sputnik V
VNM,Abdala
VUT,Oxford/AstraZeneca
WLF,Moderna
WSM,Oxford/AstraZeneca
YEM,Oxford/AstraZeneca
YEM,Sputnik V
YEM,Covaxin
YEM,Sinopharm/Beijing
YEM,CanSino
YEM,Johnson&Johnson
YEM,Sputnik Light
YEM,Sinovac
YEM,Moderna
YEM,Pfizer/BioNTech
ZAF,Johnson&Johnson
ZAF,Pfizer/BioNTech
ZMB,Johnson&Johnson
ZMB,Oxford/AstraZeneca
ZMB,Sinopharm/Beijing
ZWE,Sinopharm/Beijing
ZWE,Sinovac
ZWE,Sputnik V
ZWE,Oxford/AstraZeneca
